urn:cite:hcmid:vadslg298bifolioimgs.codvad298-15v-16r,"St. Gallen, Kantonsbibliothek, Vadianische Sammlung 298, bifolio spread of folios 15 verso and 16 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Kantonsbibliothek, Vadianische Sammlung, MS 298, f. 15v and 16r (www.e-codices.unifr.ch)."
urn:cite:hcmid:vadslg298bifolioimgs.codvad298-16v-17r,"St. Gallen, Kantonsbibliothek, Vadianische Sammlung 298, bifolio spread of folios 16 verso and 17 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Kantonsbibliothek, Vadianische Sammlung, MS 298, f. 16v and 17r (www.e-codices.unifr.ch)."
urn:cite:hcmid:vadslg298bifolioimgs.codvad298-17v-18r,"St. Gallen, Kantonsbibliothek, Vadianische Sammlung 298, bifolio spread of folios 17 verso and 18 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Kantonsbibliothek, Vadianische Sammlung, MS 298, f. 17v and 18r (www.e-codices.unifr.ch)."
urn:cite:hcmid:vadslg298bifolioimgs.codvad298-18v-19r,"St. Gallen, Kantonsbibliothek, Vadianische Sammlung 298, bifolio spread of folios 18 verso and 19 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Kantonsbibliothek, Vadianische Sammlung, MS 298, f. 18v and 19r (www.e-codices.unifr.ch)."
urn:cite:hcmid:vadslg298bifolioimgs.codvad298-19v-20r,"St. Gallen, Kantonsbibliothek, Vadianische Sammlung 298, bifolio spread of folios 19 verso and 20 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Kantonsbibliothek, Vadianische Sammlung, MS 298, f. 19v and 20r (www.e-codices.unifr.ch)."
urn:cite:hcmid:vadslg298bifolioimgs.codvad298-20v-21r,"St. Gallen, Kantonsbibliothek, Vadianische Sammlung 298, bifolio spread of folios 20 verso and 21 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Kantonsbibliothek, Vadianische Sammlung, MS 298, f. 20v and 21r (www.e-codices.unifr.ch)."
urn:cite:hcmid:vadslg298bifolioimgs.codvad298-21v-22r,"St. Gallen, Kantonsbibliothek, Vadianische Sammlung 298, bifolio spread of folios 21 verso and 22 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Kantonsbibliothek, Vadianische Sammlung, MS 298, f. 21v and 22r (www.e-codices.unifr.ch)."
urn:cite:hcmid:vadslg298bifolioimgs.codvad298-22v-23r,"St. Gallen, Kantonsbibliothek, Vadianische Sammlung 298, bifolio spread of folios 22 verso and 23 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Kantonsbibliothek, Vadianische Sammlung, MS 298, f. 22v and 23r (www.e-codices.unifr.ch)."
urn:cite:hcmid:vadslg298bifolioimgs.codvad298-23v-24r,"St. Gallen, Kantonsbibliothek, Vadianische Sammlung 298, bifolio spread of folios 23 verso and 24 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Kantonsbibliothek, Vadianische Sammlung, MS 298, f. 23v and 24r (www.e-codices.unifr.ch)."
urn:cite:hcmid:vadslg298bifolioimgs.codvad298-24v-25r,"St. Gallen, Kantonsbibliothek, Vadianische Sammlung 298, bifolio spread of folios 24 verso and 25 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Kantonsbibliothek, Vadianische Sammlung, MS 298, f. 24v and 25r (www.e-codices.unifr.ch)."
