Image,Caption,Rights
urn:cite:hcmid:gen49bifolioimgs.gen49_17v_18r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 17 verso and 18 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 17r  and 18v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_18v_19r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 18 verso and 19 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 18r  and 19v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_19v_20r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 19 verso and 20 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 19r  and 20v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_20v_21r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 20 verso and 21 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 20r  and 21v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_21v_22r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 21 verso and 22 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 21r  and 22v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_22v_23r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 22 verso and 23 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 22r  and 23v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_23v_24r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 23 verso and 24 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 23r  and 24v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_24v_25r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 24 verso and 25 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 24r  and 25v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_25v_26r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 25 verso and 26 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 25r  and 26v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_26v_27r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 26 verso and 27 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 26r  and 27v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_27v_28r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 27 verso and 28 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 27r  and 28v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_28v_29r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 28 verso and 29 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 28r  and 29v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_29v_30r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 29 verso and 30 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 29r  and 30v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_30v_31r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 30 verso and 31 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 30r  and 31v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_31v_32r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 31 verso and 32 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 31r  and 32v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_32v_33r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 32 verso and 33 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 32r  and 33v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_33v_34r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 33 verso and 34 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 33r  and 34v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_34v_35r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 34 verso and 35 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 34r  and 35v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_35v_36r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 35 verso and 36 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 35r  and 36v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_36v_37r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 36 verso and 37 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 36r  and 37v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_37v_38r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 37 verso and 38 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 37r  and 38v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_38v_39r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 38 verso and 39 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 38r  and 39v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_39v_40r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 39 verso and 40 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 39r  and 40v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_40v_41r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 40 verso and 41 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 40r  and 41v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_41v_42r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 41 verso and 42 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 41r  and 42v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_42v_43r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 42 verso and 43 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 42r  and 43v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_43v_44r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 43 verso and 44 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 43r  and 44v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_44v_45r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 44 verso and 45 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 44r  and 45v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_45v_46r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 45 verso and 46 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 45r  and 46v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_46v_47r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 46 verso and 47 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 46r  and 47v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_47v_48r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 47 verso and 48 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 47r  and 48v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_48v_49r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 48 verso and 49 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 48r  and 49v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_49v_50r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 49 verso and 50 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 49r  and 50v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_50v_51r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 50 verso and 51 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 50r  and 51v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_51v_52r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 51 verso and 52 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 51r  and 52v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_52v_53r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 52 verso and 53 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 52r  and 53v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_53v_54r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 53 verso and 54 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 53r  and 54v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_54v_55r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 54 verso and 55 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 54r  and 55v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_55v_56r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 55 verso and 56 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 55r  and 56v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_56v_57r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 56 verso and 57 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 56r  and 57v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_57v_58r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 57 verso and 58 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 57r  and 58v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_58v_59r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 58 verso and 59 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 58r  and 59v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_59v_60r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 59 verso and 60 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 59r  and 60v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_60v_61r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 60 verso and 61 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 60r  and 61v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_61v_62r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 61 verso and 62 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 61r  and 62v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_62v_63r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 62 verso and 63 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 62r  and 63v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_63v_64r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 63 verso and 64 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 63r  and 64v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_64v_65r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 64 verso and 65 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 64r  and 65v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_65v_66r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 65 verso and 66 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 65r  and 66v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_66v_67r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 66 verso and 67 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 66r  and 67v (www.e-codices.unifr.ch)."
